Correlation	Trait1: BXDPublish::18069	Trait2: BXDPublish::11911	Trait3: BXDPublish::11007	Trait4: BXDPublish::11010	Trait5: BXDPublish::11009	Trait6: BXDPublish::11011	Trait7: BXDPublish::10873	Trait8: BXDPublish::10879	Trait9: BXDPublish::10878	Trait10: INIA_AmgCoh_0311::10406564	Trait11: INIA_AmgCoh_0311::10439762	Trait12: INIA_AmgCoh_0311::10488816	Trait13: INIA_AmgCoh_0311::10501143	Trait14: INIA_AmgCoh_0311::10374983	Trait15: INIA_AmgCoh_0311::10477595	Trait16: INIA_AmgCoh_0311::10362676	Trait17: INIA_AmgCoh_0311::10601705	Trait18: INIA_AmgCoh_0311::10384956	Trait19: INIA_AmgCoh_0311::10410984	Trait20: INIA_AmgCoh_0311::10540359	Trait21: INIA_AmgCoh_0311::10578683	Trait22: INIA_AmgCoh_0311::10488806	Trait23: INIA_AmgCoh_0311::10384940	Trait24: INIA_AmgCoh_0311::10374998	Trait25: INIA_AmgCoh_0311::10338859	Trait26: INIA_AmgCoh_0311::10342533	Trait27: INIA_AmgCoh_0311::10342725	Trait28: INIA_AmgCoh_0311::10338430	Trait29: INIA_AmgCoh_0311::10338700	Trait30: INIA_AmgCoh_0311::10338292	Trait31: INIA_AmgCoh_0311::10477604	Trait32: INIA_AmgCoh_0311::10576610	Trait33: INIA_AmgCoh_0311::10374934	Trait34: INIA_AmgCoh_0311::10410995	Trait35: INIA_AmgCoh_0311::10430458	Trait36: INIA_AmgCoh_0311::10422272	Trait37: INIA_AmgCoh_0311::10601701	Trait38: INIA_AmgCoh_0311::10606658	Trait39: INIA_AmgCoh_0311::10410975	
Trait 12: INIA_AmgCoh_0311::10488816: Ahcy on Chr 2 @ 155.05931 Mb : S-adenosylhomocysteine hydrolase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 13: INIA_AmgCoh_0311::10501143: Ahcyl1 on Chr 3 @ 107.664506 Mb : S-adenosylhomocysteine hydrolase-like 1 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 14: INIA_AmgCoh_0311::10374983: Asb3 on Chr 11 @ 30.885462 Mb : ankyrin repeat and SOCS box-containing 3 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 15: INIA_AmgCoh_0311::10477595: Asip on Chr 2 @ 155.013531 Mb : agouti-signaling protein : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 16: INIA_AmgCoh_0311::10362676: Cdk19 on Chr 10 @ 40.349308 Mb : cyclin-dependent kinase 19, transcript variant 2 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 17: INIA_AmgCoh_0311::10601705: Cenpi on Chr X @ 134.308155 Mb : centromere protein I : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 18: INIA_AmgCoh_0311::10384956: Chac2 on Chr 11 @ 30.976707 Mb : ChaC, cation transport regulator homolog 2 (E. coli) : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 19: INIA_AmgCoh_0311::10410984: Ckmt2 on Chr 13 @ 91.853387 Mb : creatine kinase, mitochondrial 2 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 20: INIA_AmgCoh_0311::10540359: Cntn4 on Chr 6 @ 105.677776 Mb : contactin 4 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 21: INIA_AmgCoh_0311::10578683: Eif2s2 on Chr 8 @ 52.196061 Mb : eukaryotic translation initiation factor 2, subunit 2 (beta) : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 22: INIA_AmgCoh_0311::10488806: Eif2s2 on Chr 2 @ 154.87141 Mb : eukaryotic translation initiation factor 2, subunit 2 (beta) : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 23: INIA_AmgCoh_0311::10384940: Erlec1 on Chr 11 @ 30.929784 Mb : endoplasmic reticulum lectin 1 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 24: INIA_AmgCoh_0311::10374998: Gpr75 on Chr 11 @ 30.891008 Mb : G protein-coupled receptor 75 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 25: INIA_AmgCoh_0311::10338859: Itch on Chr 2 @ 154.975843 Mb : itchy, E3 ubiquitin protein ligase : LINE in intron, antisense	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 26: INIA_AmgCoh_0311::10342533: Itch on Chr 2 @ 155.004231 Mb : itchy, E3 ubiquitin protein ligase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 27: INIA_AmgCoh_0311::10342725: Itch on Chr 2 @ 155.014463 Mb : itchy, E3 ubiquitin protein ligase : intron	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 28: INIA_AmgCoh_0311::10338430: Itch on Chr 2 @ 155.035968 Mb : itchy, E3 ubiquitin protein ligase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 29: INIA_AmgCoh_0311::10338700: Itch on Chr 2 @ 155.038674 Mb : itchy, E3 ubiquitin protein ligase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 30: INIA_AmgCoh_0311::10338292: Itch on Chr 2 @ 155.043784 Mb : itchy, E3 ubiquitin protein ligase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 31: INIA_AmgCoh_0311::10477604: Itch on Chr 2 @ 155.133532 Mb : itchy, E3 ubiquitin protein ligase : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 32: INIA_AmgCoh_0311::10576610: Pard3 on Chr 8 @ 127.064245 Mb : par-3 (partitioning defective 3) homolog (C. elegans) : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 33: INIA_AmgCoh_0311::10374934: Psme4 on Chr 11 @ 30.771983 Mb : proteasome (prosome, macropain) activator subunit 4 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 34: INIA_AmgCoh_0311::10410995: Rasgrf2 on Chr 13 @ 92.024037 Mb : RAS protein-specific guanine nucleotide-releasing factor 2 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 35: INIA_AmgCoh_0311::10430458: Sox10 on Chr 15 @ 79.154909 Mb : SRY-box containing gene 10 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 36: INIA_AmgCoh_0311::10422272: Sox21 on Chr 14 @ 118.233232 Mb : SRY-box containing gene 21 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 37: INIA_AmgCoh_0311::10601701: Tmem35 on Chr X @ 134.295225 Mb : transmembrane protein 35 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 38: INIA_AmgCoh_0311::10606658: Trmt2b on Chr X @ 134.222955 Mb : TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae) : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
Trait 39: INIA_AmgCoh_0311::10410975: Zcchc9 on Chr 13 @ 91.796533 Mb : zinc finger, CCHC domain containing 9 : 	38	38	16	16	16	16	4	16	16	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	
